timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_VICTIMS.MISS,S0-CBO.LLC_VICTIMS,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_VICTIMS.MISS,S1-CBO.LLC_VICTIMS
12.138711455,64184,419594,0,99578,402341,0
12.239692318,89702,467464,0,76331,369750,0
12.340657284,99796,443033,0,73755,385217,0
12.441647207,66876,421690,0,84265,392616,0
12.542717198,67751,418878,0,109258,429769,0
12.645257521,63582,416914,0,109771,419013,0
12.747740189,81593,426857,0,88798,404002,0
12.850190054,59086,410137,0,134763,511404,0
12.951175350,78420,423820,0,127357,462219,0
13.052152904,59551,415951,0,101802,419681,0
13.153132169,68465,429206,0,105612,406864,0
13.254109174,90654,462516,0,58266,360730,0
13.355082158,63454,413250,0,102260,413329,0
13.456044520,55037,413429,0,106480,428681,0
13.557039382,99184,422387,0,94147,418263,0
13.658007566,80756,424231,0,117699,423923,0
13.758813479,63399,422500,0,110000,437345,0
13.859547120,64678,426378,0,105285,419709,0
13.960267592,112810,465361,0,101666,378162,0
14.061233380,131560,430163,0,88716,407234,0
14.162223643,110214,421991,0,101187,427597,0
14.263215677,133756,450799,0,87261,410514,0
14.364159458,66499,430225,0,144726,424859,0
14.466553538,84476,448490,0,129306,539402,0
14.568985764,73149,437214,0,130032,444820,0
14.671334216,82320,433657,0,134514,440172,0
14.772063330,278015,453812,0,97763,443820,0
14.873023373,143980,500591,0,124001,595520,0
14.973978574,67284,524248,0,400126,567040,0
15.074954324,214743,555109,0,97055,487889,0
15.175912124,99444,508804,0,137334,553600,0
15.276951088,260832,563228,0,322457,598101,0
15.377921384,570580,597705,0,191823,547939,0
15.478886644,251348,514031,0,70061,439842,0
15.579851430,134838,508390,0,113895,432619,0
15.680806114,118063,430637,0,94225,475010,0
15.781762231,105255,431351,0,106549,480256,0
15.882718733,142808,478926,0,91638,434596,0
15.983697875,101767,460213,0,142390,511277,0
16.084412433,90272,465083,0,121530,545194,0
16.185131618,102313,447413,0,89091,467444,0
16.285857147,111445,447352,0,90384,450100,0
16.386584154,102683,469558,0,63249,417181,0
16.487308115,104950,471298,0,62979,429766,0
16.588053458,87431,478630,0,69827,440255,0
16.688759900,95878,444768,0,102794,479488,0
16.789742787,65584,438378,0,106964,491080,0
16.890721508,200335,496117,0,100987,485778,0
16.991698170,111802,459660,0,132931,499163,0
17.092655031,157439,458293,0,129201,491439,0
17.194980495,139193,482776,0,107334,467715,0
17.297384003,124832,516287,0,78440,486392,0
17.399804622,81119,454315,0,131287,508594,0
17.502222309,94749,494571,0,129324,497710,0
17.603187997,101211,485800,0,129483,626584,0
17.704122035,66248,450344,0,133682,502613,0
17.805081493,74508,458557,0,138346,508103,0
17.906050424,49495,456609,0,95720,494946,0
18.006997994,178764,455233,0,177136,502974,0
18.107723980,237254,473351,0,112730,480391,0
18.210117461,121022,522667,0,87904,442814,0
18.312539748,92490,489729,0,96807,486724,0
18.414947745,101882,489672,0,85268,461608,0
18.517337533,97721,482156,0,65107,450496,0
18.619757940,113635,504318,0,68326,462155,0
18.722302883,103809,502545,0,68925,452399,0
18.824891508,112920,498077,0,78018,458306,0
18.927264301,83864,485807,0,89766,484108,0
19.029692582,77902,439369,0,107262,510203,0
19.131437235,89276,440054,0,135366,594894,0
19.233849528,97289,496738,0,98795,500603,0
19.336268321,84442,477207,0,109549,501865,0
19.438670635,88503,481345,0,84932,489149,0
19.539787615,64465,445125,0,97271,523998,0
19.640825289,86056,482511,0,95869,477275,0
19.741861783,99589,498931,0,63559,435767,0
19.842916966,87692,444718,0,90531,486825,0
19.943968862,88828,491031,0,64910,443721,0
20.045024963,84413,449554,0,89916,483921,0
20.146075507,54939,437011,0,112624,511638,0
20.247501910,105128,508943,0,77242,456460,0
20.348533170,89906,481642,0,66555,454727,0
20.449565468,65434,439418,0,138404,519478,0
20.550609785,105235,459089,0,99068,482134,0
20.651667978,108202,438992,0,100771,491991,0
20.752415731,162317,476443,0,123157,583398,0
20.853159784,104823,427359,0,111447,489771,0
20.953901160,115971,435637,0,102113,480071,0
21.054645976,68460,436209,0,133032,488839,0
21.155396666,60848,441974,0,133186,483110,0
21.256144754,62986,438367,0,100483,499784,0
21.356888944,74311,447340,0,120166,490395,0
21.457640880,97537,440190,0,95619,478155,0
21.558374895,107178,495310,0,132598,442221,0
21.659352953,101200,489452,0,75996,461794,0
21.760366918,83603,475950,0,87418,475728,0
21.861360643,95860,477793,0,86459,468586,0
21.962361531,76262,453109,0,160807,508925,0
22.064838263,66679,453560,0,104388,494888,0
22.165840450,54149,454690,0,112025,516275,0
22.266840550,127140,507332,0,109395,508258,0
22.367852709,96222,615629,0,151241,637189,0
22.468991522,73551,459196,0,126792,512760,0
22.569960045,88322,457457,0,112709,490005,0
22.670929482,69088,464650,0,149056,499000,0
22.773350604,101044,457856,0,111470,492844,0
22.875676816,112445,453909,0,93369,510535,0
22.978102552,358472,510264,0,95048,477123,0
23.080520052,286295,549183,0,112877,520696,0
23.181227167,290718,551841,0,114739,531272,0
23.281946538,302239,538430,0,83020,456478,0
23.382761790,289038,553608,0,105676,527193,0
23.483497809,332732,603905,0,119421,624173,0
23.584201695,320130,664706,0,88237,573497,0
23.684913509,293642,651239,0,81522,607212,0
23.785870255,299570,639193,0,131741,622381,0
23.886819281,298644,574109,0,131956,629106,0
23.987856973,313252,552525,0,66050,441678,0
24.088803230,344167,575336,0,54320,446421,0
24.189748119,314596,546510,0,56496,440821,0
24.290829807,345325,562412,0,55928,429579,0
24.391821094,330599,593790,0,54577,431550,0
24.492760713,176887,549784,0,58630,429471,0
24.594201798,170107,551899,0,56264,420889,0
24.695156216,164410,531080,0,59155,445334,0
24.796110402,157896,515597,0,67244,430991,0
24.897061494,145265,520534,0,70147,444659,0
24.998016963,127316,495345,0,69769,450272,0
25.098977469,167381,538332,0,54384,427457,0
25.199914072,120760,492472,0,84898,465349,0
25.300859600,92445,494220,0,67827,433201,0
25.403274686,93046,442307,0,113543,564711,0
25.505699504,90629,501790,0,110480,489528,0
25.608147037,116260,515090,0,65807,440985,0
25.710624964,89823,494715,0,78735,463724,0
25.813045660,688768,594455,0,1817605,1275481,0
25.914010061,1686532,1454673,0,1818988,1765604,0
26.014762280,1516415,1458140,0,2914118,1568102,0
26.115583826,2906006,1171116,0,3884399,1150156,0
26.216478606,659425,1043376,0,841637,1045892,0
26.317306514,187694,1021398,0,733996,952945,0
26.418161148,472068,1066782,0,299899,874984,0
26.521536957,622540,955768,0,239879,837412,0
26.624365463,6113563,1333851,0,5921467,1220283,0
26.724933740,4450223,1053984,0,8172375,968837,0
26.825631381,4223146,584858,0,3700005,599199,0
26.926327715,1031085,142320,0,817098,199376,0
27.027001952,1064817,169491,0,426196,220001,0
27.127721815,154714,156656,0,40847,44803,0
27.228385429,964188,205151,0,115593,88309,0
27.329113052,942242,214928,0,1408527,140505,0
27.429857182,1211142,136250,0,212631,87407,0
27.530613101,223223,67469,0,661942,339217,0
27.631387844,303954,85979,0,376241,536415,0
27.732134578,178824,53602,0,223402,512786,0
27.832818679,708703,114156,0,511640,52722,0
27.933544632,254502,71556,0,409335,51606,0
28.034607200,1493230,98521,0,128396,88248,0
28.135564184,924229,117292,0,1306418,111487,0
28.236503185,70008,5014,0,914393,8760,0
28.337128866,4084,334,0,735514,3023,0
28.437856456,84220,11834,0,886921,43078,0
28.538628665,67183,8145,0,1002318,118288,0
28.639452691,1080604,88962,0,290186,31726,0
28.740385324,64354,1574,0,155745,44860,0
28.841317965,12949,435,0,147322,42196,0
28.942008310,21059,1229,0,147206,44312,0
29.042774459,4142,289,0,151459,44557,0
29.143666147,195317,7215,0,42456,8351,0
29.244590039,42971,2605,0,44947,11690,0
29.345492440,794,443,0,146097,50873,0
29.446334851,658,184,0,143046,37889,0
29.547313654,16109,2070,0,126578,32783,0
29.648213018,118828,18195,0,470241,71927,0
29.748899426,397603,119398,0,3735155,420439,0
29.849861506,399945,32179,0,2870327,302416,0
29.950820435,148004,10669,0,2912284,434184,0
30.051758671,16908,2471,0,1843749,84912,0
30.152627948,271,80,0,6636,391,0
30.253511874,178,65,0,219,71,0
30.354436251,1016,84,0,353,64,0
30.455381000,146,90,0,8102,113,0
30.455381000,25404,4254,0,21217,3568,0
